court_id,resource_uri,pacer_court_id,pacer_has_rss_feed,pacer_rss_entry_types,date_last_pacer_contact,fjc_court_id,date_modified,in_use,has_opinion_scraper,has_oral_argument_scraper,position,citation_string,short_name,full_name,url,start_date,end_date,jurisdiction,parent_court,appeals_to
ohctapp3logan,https://www.courtlistener.com/api/rest/v4/courts/ohctapp3logan/,,,,,,2023-10-02T18:23:58.829799-07:00,False,False,False,366.996017,Oh. Ct. App. 3rd Dist. Logan,"Court of Appeals of Ohio, Third District, Logan County","Court of Appeals of Ohio, Third District, Logan County",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/ohctapp3/,[]
ohctapp3marion,https://www.courtlistener.com/api/rest/v4/courts/ohctapp3marion/,,,,,,2023-10-02T18:23:58.844828-07:00,False,False,False,366.996018,Oh. Ct. App. 3rd Dist. Marion,"Court of Appeals of Ohio, Third District, Marion County","Court of Appeals of Ohio, Third District, Marion County",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/ohctapp3/,[]
ohctapp3mercer,https://www.courtlistener.com/api/rest/v4/courts/ohctapp3mercer/,,,,,,2023-10-02T18:23:58.859313-07:00,False,False,False,366.996019,Oh. Ct. App. 3rd Dist. Mercer,"Court of Appeals of Ohio, Third District, Mercer County","Court of Appeals of Ohio, Third District, Mercer County",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/ohctapp3/,[]
ohctapp3pauldin,https://www.courtlistener.com/api/rest/v4/courts/ohctapp3pauldin/,,,,,,2023-10-02T18:23:58.871298-07:00,False,False,False,366.99602,Oh. Ct. App. 3rd Dist. Paulding,"Court of Appeals of Ohio, Third District, Paulding County","Court of Appeals of Ohio, Third District, Paulding County",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/ohctapp3/,[]
ohctapp3putnam,https://www.courtlistener.com/api/rest/v4/courts/ohctapp3putnam/,,,,,,2023-10-02T18:23:58.883183-07:00,False,False,False,366.996021,Oh. Ct. App. 3rd Dist. Putnam,"Court of Appeals of Ohio, Third District, Putnam County","Court of Appeals of Ohio, Third District, Putnam County",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/ohctapp3/,[]
ohctapp3seneca,https://www.courtlistener.com/api/rest/v4/courts/ohctapp3seneca/,,,,,,2023-10-02T18:23:58.900044-07:00,False,False,False,366.996022,Oh. Ct. App. 3rd Dist. Seneca,"Court of Appeals of Ohio, Third District, Seneca County","Court of Appeals of Ohio, Third District, Seneca County",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/ohctapp3/,[]
ohctapp3shelby,https://www.courtlistener.com/api/rest/v4/courts/ohctapp3shelby/,,,,,,2023-10-02T18:23:58.911502-07:00,False,False,False,366.996023,Oh. Ct. App. 3rd Dist. Shelby,"Court of Appeals of Ohio, Third District, Shelby County","Court of Appeals of Ohio, Third District, Shelby County",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/ohctapp3/,[]
ohctapp3union,https://www.courtlistener.com/api/rest/v4/courts/ohctapp3union/,,,,,,2023-10-02T18:23:58.927172-07:00,False,False,False,366.996024,Oh. Ct. App. 3rd Dist. Union,"Court of Appeals of Ohio, Third District, Union County","Court of Appeals of Ohio, Third District, Union County",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/ohctapp3/,[]
ohctapp3vanwert,https://www.courtlistener.com/api/rest/v4/courts/ohctapp3vanwert/,,,,,,2023-10-02T18:23:58.943081-07:00,False,False,False,366.996025,Oh. Ct. App. 3rd Dist. Van Wert,"Court of Appeals of Ohio, Third District, Van Wert County","Court of Appeals of Ohio, Third District, Van Wert County",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/ohctapp3/,[]
ohctapp3wyandot,https://www.courtlistener.com/api/rest/v4/courts/ohctapp3wyandot/,,,,,,2023-10-02T18:23:58.949186-07:00,False,False,False,366.996026,Oh. Ct. App. 3rd Dist. Wyandot,"Court of Appeals of Ohio, Third District, Wyandot County","Court of Appeals of Ohio, Third District, Wyandot County",,,,ST,https://www.courtlistener.com/api/rest/v4/courts/ohctapp3/,[]
